"Code","Mouse_ID","Year","HI","HI_NLoci","Longitude","Latitude"
"PREN14","AA_0091","2016",0,10,13.5544,52.7881
"PREN14","AA_0092","2016",0,6,13.5544,52.7881
"RIBB8","AA_0127","2016",0.05,14,13.2567,53.0322
"RIBB8","AA_0129","2016",0,12,13.2567,53.0322
"ROSENT","AA_0101","2016",0,14,13.4639,51.8625
"ROSENT","AA_0100","2016",0,12,13.4639,51.8625
"RUDN21","AA_0098","2016",0,14,13.64,52.7169444444444
"RUDN21","SK_2908","2014",0.2,13,13.64,52.7169444444444
"RUDN21","AA_0097","2016",0.0555555556,12,13.64,52.7169444444444
"RUTE41","SK_3188","2015",0.88,13,13.3067,53.2531
"RUTERE","SK_3190","2015",0.9,14,13.3047,53.2522
"SCHEN8f","SK_3210","2015",0,13,13.5992,52.2725
"SCHEN8h","SK_3208","2015",0.1,14,13.595,52.2747
"SCHEN8h","SK_3209","2015",0.16,13,13.595,52.2747
"SCHEN8h","AA_0062","2016",0.04,13,13.595,52.2747
"SCHEN8h","AA_0061","2016",0,14,13.595,52.2747
"SCHEN8h","SK_3207","2015",0,13,13.595,52.2747
"SCHEN8h","SK_3213","2015",0,13,13.595,52.2747
"SCHIFF29","SK_3109","2015",0.88,13,14.0569,52.8092
"SCHIFF29","SK_3194","2015",0.85,14,14.0569,52.8092
"SCHIFF29","SK_3135","2015",0.85,14,14.0569,52.8092
"SCHIFF29","SK_3137","2015",0.88,13,14.0569,52.8092
"SCHM1","SK_2896","2014",0,13,13.345,52.7886111111111
"SCHM1","SK_2923","2014",0,13,13.345,52.7886111111111
"SCHOR16","SK_3155","2015",0.1,14,13.5436,52.9228
"SCHOR16","SK_3154","2015",0.1,14,13.5436,52.9228
"SCHOR16","SK_3158","2015",0.2,14,13.5436,52.9228
"SCHOR16","SK_3157","2015",0.0869565217,12,13.5436,52.9228
"SCHOR16","SK_3156","2015",0.16,13,13.5436,52.9228
"STAFF","SK_2826","2014",0,14,12.9925,52.7297222222222
"STEG1","SK_2927","2014",0.85,14,13.8433,53.1267
"STEG1","SK_2932","2014",0.92,13,13.8433,53.1267
"STEG1","AA_0177","2016",0.7142857143,7,13.8433,53.1267
"STEG1","SK_2929","2014",0.92,13,13.8433,53.1267
"STEG1","SK_3178","2015",0.9,14,13.8433,53.1267
"STEG1","SK_2928","2014",0.8461538462,7,13.8433,53.1267
"STEINHO1","AA_0138","2016",0.84,13,14.1167,52.4206
"STERNF2","SK_3377","2015",0.76,13,13.9703,53.0039
"STERNF2","SK_3182","2015",0.9,14,13.9703,53.0039
"STERNF2","SK_3186","2015",0.9,14,13.9703,53.0039
"STERNF2","SK_3180","2015",0.76,13,13.9703,53.0039
"STERNF2","SK_3179","2015",0.6,14,13.9703,53.0039
"STORK17","SK_3106","2015",0.8,13,13.4458,53.0478
"STORK17","SK_3361","2015",0.8,13,13.4458,53.0478
"STORK17","SK_3103","2015",0.5,14,13.4458,53.0478
"STORK18","AA_0205","2016",0.64,13,13.4464,53.0481
"STORK18","AA_0208","2016",0.76,13,13.4464,53.0481
"STORK18","AA_0203","2016",0.72,13,13.4464,53.0481
"TEMM","SK_2924","2014",0.9,14,13.7555555555556,53.0966666666667
"TEMP8c","SK_2828","2014",0,14,13.7222222222222,52.7111111111111
"TEUP41","AA_0133","2016",0,13,13.6086,52.1303
"TOPEGS7","AA_0131","2016",0,11,13.5878,52.1583
"TOPEGS7","AA_0130","2016",0,13,13.5878,52.1583
"TOPEGS7","AA_0134","2016",0,13,13.5878,52.1583
"TOPEGS7","AA_0135","2016",0,12,13.5878,52.1583
"TOPEGS7","AA_0132","2016",0,14,13.5878,52.1583
"TRIEP30","SK_3189","2015",0.9,14,13.3306,53.2903
"TUCH13","AA_0137","2016",0.1304347826,12,13.7875,52.7544
"TUCH13","AA_0136","2016",0.1,14,13.7875,52.7544
"TUCH13","AA_0126","2016",0.25,8,13.7875,52.7544
"WILL5","AA_0142","2016",0.7826086957,12,13.7731,53.1164
"WILL5","AA_0141","2016",0.875,10,13.7731,53.1164
"WILL5","AA_0140","2016",0.8,13,13.7731,53.1164
"WOLZ24","AA_0063","2016",0.1,14,13.84,52.2678
"WOLZ24","AA_0080","2016",0,13,13.84,52.2678
"WOLZ24","AA_0081","2016",0.05,14,13.84,52.2678
"WOLZ24","AA_0079","2016",0.1,14,13.84,52.2678
"WOLZ24","AA_0089","2016",0.0476190476,11,13.84,52.2678
"WOLZ24","AA_0113","2016",0.1578947368,13,13.84,52.2678
"WOLZ24","AA_0082","2016",0,13,13.84,52.2678
"WOLZ24","AA_0088","2016",0.2,14,13.84,52.2678
"WRIE20","AA_0193","2016",0.88,13,14.1267,52.7347
"WRIE20","AA_0192","2016",0.88,13,14.1267,52.7347
"WRIE20","AA_0195","2016",0.88,13,14.1267,52.7347
"WRIE20","AA_0197","2016",0.88,13,14.1267,52.7347
"WRIE20","AA_0194","2016",0.9473684211,13,14.1267,52.7347
"WRIE20","AA_0211","2016",0.8235294118,9,14.1267,52.7347
"ZACK20","SK_2895","2014",0.88,13,14.2408333333333,52.7883333333333
"ZACK20","SK_2907","2014",0.76,13,14.2408333333333,52.7883333333333
"ZACK20","SK_2850","2014",0.92,13,14.2408333333333,52.7883333333333
"ZACK20","SK_2906","2014",0.76,13,14.2408333333333,52.7883333333333
"ZEHL1","SK_2809","2014",0,14,13.3994444444444,52.7969444444444
"ZEHL1","SK_3107","2015",0,14,13.3994444444444,52.7969444444444
"ZEHL1","SK_2808","2014",0.08,13,13.3994444444444,52.7969444444444
"ZEHL1","SK_3150","2015",0,13,13.3994444444444,52.7969444444444
"ZEHL1","SK_2811","2014",0,12,13.3994444444444,52.7969444444444
"ZEHL1","SK_2807","2014",0,13,13.3994444444444,52.7969444444444
"ZEHL1","SK_2812","2014",0.04,13,13.3994444444444,52.7969444444444
"ZEHL1","SK_2806","2014",0,14,13.3994444444444,52.7969444444444
"ZEHL1","SK_2810","2014",0,14,13.3994444444444,52.7969444444444
"ZEHL21","SK_2926","2014",0.4,13,13.3877777777778,52.7752777777778
"ZINND","AA_0054","2016",0.7083333333,12,13.9289,52.5028
"ZINND","AA_0052","2016",0.5789473684,13,13.9289,52.5028
"ZINND","AA_0051","2016",0.76,13,13.9289,52.5028
"ZINND","AA_0053","2016",0.6363636364,11,13.9289,52.5028
"ZOOTZ","AA_0180","2016",0.8,13,13.2144,53.1514
"ZOOTZ","AA_0181","2016",0.65,14,13.2144,53.1514
"ZOOTZ","AA_0183","2016",0.75,14,13.2144,53.1514
"ZOOTZ","AA_0184","2016",0.84,13,13.2144,53.1514
"BLAZI","SK_2744","2014",0.833333333333333,6,13.0488888888889,49.9169444444444
"BLAZI","SK_2741","2014",1,6,13.0488888888889,49.9169444444444
"BUS2","SK_2670","2014",1,6,13.3741666666667,50.2216666666667
"CHL1","SK_2788","2014",1,6,12.5319444444444,50.1516666666667
"CHL161","SK_2791","2014",1,6,12.5308333333333,50.1513888888889
"CHL161","SK_2790","2014",1,6,12.5308333333333,50.1513888888889
"CHOT1","SK_2655","2014",1,6,12.5058333333333,50.1191666666667
