"","Got.the.sheet.","location","Adress","GPS.coordinates.long","GPS.coordinates.lat","trapping_date","trapping_time","number_of_traps","collection_date","collection_time","number_of_mice","collection_team","comment..by.catch..etc.","area","Y_N","MperT"
"145","","ZEHL21","Wensickendorfer Str.21A, Zehlendorf",52.775155,13.387899,"27.09.2016","17h15",26,"28.09.2016","17h30",0,"Paula-Naomi-Sascha","+3 Spitzmäuse","B","None",0
"146","","","Granseer Str. 58, Großwoltersdorf",53.070217,13.09432,"26.09.2016","13h00",11,"27.09.2016","16h20",0,"Thomas-Jana-Lisa-Kati","","A","None",0
"147","","","Eichenweg, Strasen",53.207467,12.998334,"26.09.2016","15h30",11,"27.09.2016","13h30",0,"Thomas-Jana-Lisa-Kati","","A","None",0
"148","","","Pälitzhof 1,17255 Wustrow",53.203156,12.9707638,"26.09.2016","16h00",3,"27.09.2016","13h40",0,"Thomas-Jana-Lisa-Kati","","A","None",0
"149","","","Pälitzhof 3, Wustrow",53.203156,12.9707638,"26.09.2016","16h15",16,"27.09.2016","13h45",0,"Thomas-Jana-Lisa-Kati","","A","None",0
"150","","","Bornmülenstraße, Fürstenberg",53.172124,13.147471,"24.09.2016","17h30",19,"25.09.2016","14h",0,"Thomas-Jana-Lisa-Kati","","A","None",0
"151","","E_NE20","Neulüdersdorf 20, Neulüdersdorf",53.050558,13.172672,"26.09.2016","12h30",10,"28.09.2016","17h30",1,"Thomas-Jana-Lisa-Kati","Fallen am 27.09 neu gesetzt","A","Mm",0.1
"152","","","Rheinberger Str., Fürstenberg",53.170048,13.126998,"27.09.2016","16h00",16,"28.09.2016","14h30",0,"Thomas-Jana-Lisa-Kati","1 Spitzmaus, 1Waldmaus","A","None",0
"153","","","Granseer Str. 1, Großwoltersdorf",53.06548,13.106627,"27.09.2016","16h30",13,"28.09.2016","17h15",0,"Thomas-Jana-Lisa-Kati","2 Spitzmäuse","A","None",0
"154","","E_ZOOT","Dorfstr. 16, Zootzen",53.151642,13.213816,"27.09.2016","12h00",19,"28.09.2016","13h45",4,"Thomas-Jana-Lisa-Kati","7 Feldmäuse","A","Mm",0.210526315789474
"155","","","Zur Flake 4, Strasen",53.211841,12.993232,"27.09.2016","15h00",19,"28.09.2016","16h30",0,"Thomas-Jana-Lisa-Kati","","A","None",0
"156","","E_DOB1","Poststr. 1, Dobberzin",53.019926,14.035729,"28.09.2016","11h00",10,"29.09.2016","10h00",2,"Gregor-Pedro","1 Spitzmaus","C","Mm",0.2
"157","","DOBB8","Poststr. 8, Dobberzin",53.020251,14.035471,"28.09.2016","10h30",10,"29.09.2016","10h05",5,"Gregor-Pedro","","C","Mm",0.5
"158","","STERNF2","Kastanienallee 2, 16278 Angermünde - Sternfelde",53.00394,13.97029,"28.09.2016","12h00",15,"29.09.2016","11h00",1,"Gregor-Pedro","1 Spitzmaus","C","Mm",0.0666666666666667
"159","","","Kirchstr. 5, 16230 Amtbritz- Chorin",52.886437,13.815899,"28.09.2016","14h00",8,"29.09.2016","11h45",0,"Gregor-Pedro","","C","None",0
"160","","","Alihmbsmühle 4, 17268",53.07628,13.62279,"28.09.2016","16h15",12,"29.09.2016","13h10",0,"Victor-Sascha-Naomi","","B","None",0
"161","","","Neudorf 2, 16348 Wandlitz",52.79819,13.516796,"28.09.2016","10h30",19,"29.09.2016","11h00",0,"Victor-Sascha-Naomi","","B","None",0
"162","","","Wandlitzerstrasse 16, Lanke",52.758042,13.523066,"28.09.2016","11h45",12,"29.09.2016","11h30",0,"Victor-Sascha-Naomi","","B","None",0
