"","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","Mouse_ID","Position"
"119",38.9,4.81,32.6,14.2,1.51,54.3,0.8,18.5,25,4.49,37.6,0.38,0.083,0,"AA_0781","mLN"
"120",59.7,3.94,40.6,13.5,0.5,56,1.39,30,9.94,4.81,54.8,0.57,0.11,7.87,"AA_0782","mLN"
"121",45.8,5.93,22,13.1,1.08,46.3,0.75,14.3,17,5.68,19,0.11,0.021,0.52,"AA_0783","mLN"
"122",42.4,6.18,12.4,6.18,0.95,47.6,0.84,9.7,13.6,6.83,21.4,0.41,0,0,"AA_0784","mLN"
"123",52.6,6.21,16.2,8.55,1.91,36.5,1.03,14.3,19.2,8.64,32.7,0.52,0.19,4.53,"AA_0785","mLN"
"124",34.6,9.82,14.3,6.94,1.88,58.6,1.31,17.7,29.2,2.91,71.1,0.94,0,1.01,"AA_0786","mLN"
"125",39.1,7.01,17.9,4.88,1.71,61.5,1.35,17.5,13.4,9.7,75.6,0.093,0.12,1.76,"AA_0787","mLN"
"126",47.7,6.19,19.3,3.36,1.33,48.9,0.65,20.1,22.6,4.42,33.6,0.15,0.23,3.79,"AA_0788","mLN"
"127",40.4,8.65,35.4,1.54,3.75,69.9,0.6,49.6,21.3,11.4,70.3,0.24,0.16,8.29,"AA_0789","mLN"
"128",43.4,4.77,35.8,6.95,3.4,50.3,1.65,32.5,16.7,13.8,30.2,0.59,0.32,3.64,"AA_0790","mLN"
"129",30.4,64.7,0,90.9,50,0,66.7,0,1.79,0,0,0,2.47,0,"AA_0791","mLN"
"130",34.9,7.94,45,2.48,7.69,79.9,0.66,55,16.4,14.2,69.2,0,0,0.91,"AA_0792","mLN"
"131",42.4,12.7,13.2,2.99,6.86,28.7,0.94,14.9,24,19.6,33.8,1,0.35,4.82,"AA_0793","mLN"
"132",26.6,14,27,2.24,5.51,63.8,0.74,36.6,24.2,28.7,80.4,0.53,0.85,3.95,"AA_0794","mLN"
"133",35,13.7,19.5,3.11,4.11,55.6,0.89,35.1,22.7,7.49,49.5,0.32,1.04,2.56,"AA_0795","mLN"
"134",37.5,11.1,9.63,7.82,1.37,42.6,0.85,23.3,23.7,1.55,40.4,0.15,0.15,1.38,"AA_0796","mLN"
"135",30.4,11.9,40.2,1.57,6.53,65.8,0.48,57.7,26.2,14.8,62.2,0.68,0.62,8.87,"AA_0797","mLN"
"136",37.6,8.47,25.1,8.18,5.18,51.7,1.72,41.3,33.4,7.38,32.7,0.34,0.81,1.75,"AA_0798","mLN"
"137",31.4,15.2,24.6,4.05,5.96,62.3,1.05,32.7,27.1,3.27,76.7,1.01,2.1,4.8,"AA_0799","mLN"
"138",46.9,11.8,41.1,16.2,2.94,61.6,3.26,46.2,17.2,5.6,52.1,0.15,0.15,2.15,"AA_0800","mLN"
"139",31.2,12.7,16.4,3.76,4.97,34.8,0.89,26.5,44.4,4.98,39,0.53,0.65,3.54,"AA_0801","mLN"
"140",39,11.8,12.9,1.86,2.74,47.2,0.33,23.2,37.8,2.21,46.8,1.03,0.21,5.68,"AA_0802","mLN"
"141",34.7,15.8,15.2,2.41,1.93,36.8,0.73,14.9,20.8,2.65,41.9,0.33,1.42,2.94,"AA_0803","mLN"
"142",31.8,13.9,22.1,1.62,4.22,56.8,0.4,38.4,23.6,4.97,63.3,0.8,1.33,6.02,"AA_0804","mLN"
"143",32.2,15,33.1,2.67,7.33,54.3,0.72,33.8,22.4,6.39,63.1,1.12,1.47,2.7,"AA_0805","mLN"
"144",35.4,16.7,12.4,3.72,2.41,42.6,0.87,11.5,22.6,4.02,40.9,0.65,0.29,2.97,"AA_0806","mLN"
"145",30.1,15,17.2,2.32,5.32,44.6,1.25,13.2,24.5,7.7,57,0.89,0.38,1.5,"AA_0807","mLN"
"146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,0.34,9.42,"AA_0763","spleen"
"147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,0.95,10.8,"AA_0764","spleen"
"148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39,0.98,5.2,"AA_0765","spleen"
"149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44,0,6.49,"AA_0766","spleen"
"150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78,0.17,21.8,"AA_0767","spleen"
"151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,1.13,51.5,"AA_0768","spleen"
"152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,0.26,26.1,"AA_0769","spleen"
"153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.99,0.48,35.8,"AA_0770","spleen"
"154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,0.17,21.2,"AA_0771","spleen"
"155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.18,0.14,13.9,"AA_0772","spleen"
"156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.97,0.12,17.7,"AA_0773","spleen"
"157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35,0.22,22,"AA_0774","spleen"
"158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,0.16,38.8,"AA_0775","spleen"
"159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.28,0.86,7.75,"AA_0776","spleen"
"160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.53,31.3,"AA_0777","spleen"
"161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.44,28.2,"AA_0778","spleen"
"162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.73,0.41,31.1,"AA_0779","spleen"
"163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,0.18,28.9,"AA_0780","spleen"
"164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06,0.16,3.46,"AA_0781","spleen"
"165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,0.15,5.44,"AA_0782","spleen"
"166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,0.11,1.17,"AA_0783","spleen"
"167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63,0.17,0.85,"AA_0784","spleen"
"168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7,0.2,7.36,"AA_0785","spleen"
"169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.63,0,1.37,"AA_0786","spleen"
"170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.51,0.59,4.71,"AA_0787","spleen"
"171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32,0.8,2,"AA_0788","spleen"
"172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,0.62,3.85,"AA_0789","spleen"
"173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,0.28,7.6,"AA_0790","spleen"
"174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65,0.31,3.47,"AA_0791","spleen"
"175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.09,0.99,3.12,"AA_0792","spleen"
"176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34,0.39,7.38,"AA_0793","spleen"
"177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,0.25,11,"AA_0794","spleen"
"178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,0.25,9.89,"AA_0795","spleen"
"179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56,0.25,2.75,"AA_0796","spleen"
"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,0.27,20.2,"AA_0797","spleen"
"181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4,0.34,7.55,"AA_0798","spleen"
