Name,Eimeria_IL,Crypto_IL,Eimeria presence in Caecum,Worms,Sex,GPS.latitude,GPS.longitude,Status,Eimeria subspecies,deltaCtMmE_tissue,BMI.BMI
CEWE_AA_631,NA,NA,TRUE,TRUE,M,5330785,141413,adult,Eimeria sp.,-7.74,0.002439350501552
CEWE_AA_632,FALSE,FALSE,FALSE,FALSE,F,5330705,140939,adult,non infected,-9.75,0.002526500098081
CEWE_AA_633,FALSE,FALSE,FALSE,TRUE,F,5330785,141413,adult,non infected,-9.67,0.002409509810054
CEWE_AA_634,FALSE,FALSE,FALSE,TRUE,M,5330785,141413,adult,non infected,-8.41,0.002467194792452
CEWE_AA_635,FALSE,FALSE,TRUE,TRUE,M,5330785,141413,adult,E. falciformis,-5.82,0.002263524786047
CEWE_AA_636,FALSE,FALSE,TRUE,TRUE,M,5330785,141413,juvenile,Eimeria sp.,-6.82,0.002275510204082
CEWE_AA_637,FALSE,FALSE,FALSE,FALSE,F,5330785,141413,pregnant,non infected,-8.47,0.002787714966535
CEWE_AA_638,FALSE,FALSE,FALSE,FALSE,F,5330785,141413,adult,non infected,-9,0.002547511405759
CEWE_AA_639,FALSE,FALSE,FALSE,TRUE,M,5331515,132145,adult,non infected,-10.42,0.00307752173232
CEWE_AA_640,FALSE,FALSE,FALSE,TRUE,M,5331515,132145,adult,non infected,-9.57,0.002681965019278
CEWE_AA_641,FALSE,FALSE,FALSE,TRUE,M,5331515,132145,adult,non infected,-10.38,0.002835139108749
CEWE_AA_642,FALSE,FALSE,FALSE,TRUE,F,5330785,141413,juvenile,non infected,-9.53,0.002215912505258
CEWE_AA_643,FALSE,FALSE,TRUE,TRUE,F,5330785,141413,adult,Eimeria sp.,-8.06,0.002728992794018
CEWE_AA_644,FALSE,FALSE,FALSE,FALSE,F,5330785,141413,pregnant,non infected,-7.24,0.002858902181562
CEWE_AA_645,FALSE,FALSE,FALSE,TRUE,F,5330785,141413,juvenile,non infected,-11.11,0.001900850879057
