Sample_ID,conc_DNA_ngpermicroL,destiliertes Wasser,ILEUM_DNA_conc_ngpermicroL,ILEUM_260/280,ILEUM_260/230,sample ID,qPCR_results,Nbr_oocyst_dup1,Nbr_oocyst_dup2,Nbr_oocyst_MEAN,date of qPCR
IL 657,20.17,79.83,247.90,1.90,2.09,IL 657,FALSE,0,0,0,11/21/18
IL 658,25.80,74.20,193.80,2.04,1.60,IL 658,FALSE,0,0,0,11/21/18
IL 659,17.41,82.59,287.20,1.89,2.05,IL 659,FALSE,0,0,0,11/21/18
IL 660,22.40,77.60,223.20,1.99,1.79,IL 660,TRUE,981,3947,2464,11/21/18
IL 661,25.24,74.76,198.10,1.93,1.72,IL 661,FALSE,0,0,0,11/21/18
IL 662,9.70,90.30,515.30,1.93,1.91,IL 662,FALSE,0,0,0,11/21/18
IL 663,46.55,53.45,107.40,1.76,0.56,IL 663,FALSE,0,0,0,11/21/18
IL 664,29.33,70.67,170.50,2.20,2.09,IL 664,FALSE,0,0,0,11/21/18
IL 665,33.05,66.95,151.30,2.05,1.55,IL 665,FALSE,0,0,0,11/21/18
IL 666,8.97,91.03,557.60,1.89,1.90,IL 666,TRUE,32934,30922,31928,11/21/18
IL 667,33.78,66.22,148.00,2.15,1.66,IL 667,TRUE,43643,39675,41659,11/21/18
IL 668,66.84,33.16,74.80,2.14,0.44,IL 668,FALSE,0,0,0,11/21/18
IL 669,22.54,77.46,221.80,1.92,1.98,IL 669,TRUE,11648,15047,13348,11/21/18
IL 670,17.34,82.66,288.40,1.98,1.76,IL 670,FALSE,0,0,0,11/21/18
IL 671,18.50,81.50,270.20,1.94,1.76,IL 671,FALSE,0,0,0,11/21/18
IL 672,31.37,68.63,159.40,2.01,1.46,IL 672,FALSE,0,0,0,11/21/18
IL 673,9.62,90.38,519.60,1.94,2.06,IL 673,FALSE,0,0,0,11/21/18
IL 674,69.93,30.07,71.50,1.92,0.69,IL 674,FALSE,0,0,0,11/21/18
IL 675,44.21,55.79,113.10,1.99,1.15,IL 675,FALSE,0,0,0,11/21/18
IL 676,20.90,79.10,239.20,1.97,2.08,IL 676,FALSE,0,0,0,11/21/18
IL 677,22.78,77.22,219.50,1.97,1.97,IL 677,FALSE,0,0,0,11/21/18
IL 678,12.96,87.04,385.80,"1,95","2,14",IL 678,FALSE,0,183,0,10.10.2018
IL 679,27.59,72.41,181.20,2.10,1.40,IL 679,TRUE,4344,4727,4535,11/21/18
IL 680,25.15,74.85,198.80,2.09,1.93,IL 680,FALSE,0,0,0,11/21/18
