# File Name: qPCR_eimeria_field_faeces_JK_09022022_2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 12:17:00 PM UTC
# Run End Date/Time: 2022-02-09 01:35:11 PM UTC
# Run Duration: 78 minutes 10 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 12:52:46 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 12:53:35 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"66","F6","3","163193.89","38832.76","101874.48"
"67","F7","3","159444.98","44038.5","127375.21"
"68","F8","3","122903.086","31130.445","85019.71"
"69","F9","3","126559.84","29546.475","75792.03"
"70","F10","3","95238.65","31959.668","102712.94"
"71","F11","3","123271.1","36626.62","106001.34"
"72","F12","3","120829.3","35188.957","93974.5"
"73","G1","3","144997.9","49348.53","167428.08"
"74","G2","3","136507.22","42121.55","131405.08"
"75","G3","3","140238.92","42115.758","125630.44"
"76","G4","3","123659.63","41577.26","134268.19"
"77","G5","3","104051.23","31239.178","96268.02"
"78","G6","3","116355.25","34466.39","102688.766"
"79","G7","3","128386.44","40183.613","123385.74"
"80","G8","3","140506.0","40012.242","113923.02"
"81","G9","3","104374.75","28999.572","82026.055"
"82","G10","3","101371.91","32182.986","99887.3"
"83","G11","3","139050.25","36434.28","93573.61"
"84","G12","3","138663.25","39690.312","111955.46"
"85","H1","3","167313.14","55521.766","169491.92"
"86","H2","3","159859.58","47530.18","133491.88"
"87","H3","3","183537.72","49728.305","129561.48"
"88","H4","3","133180.39","44059.242","135971.39"
"89","H5","3","139603.38","41883.51","122496.414"
"90","H6","3","147009.52","39581.605","112325.484"
"91","H7","3","167420.75","47055.285","136022.27"
"92","H8","3","163483.73","43926.5","118521.91"
"93","H9","3","115116.8","31039.533","85165.38"
"94","H10","3","56661.56","27852.84","114901.29"
"95","H11","3","53198.59","29700.287","126319.52"
