# File Name: qPCR_eimeria_field_faeces_JK_09022022_2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 12:17:00 PM UTC
# Run End Date/Time: 2022-02-09 01:35:11 PM UTC
# Run Duration: 78 minutes 10 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 12:52:46 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 12:53:35 PM UTC
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"55","E7","AA844","Eim","84.17140197753906","23268.70703125"
"55","E7","AA844","Eim","61.65498352050781","11048.86328125"
"55","E7","AA844","Eim","86.58927154541016","19024.4140625"
"56","E8","AA844","Eim","82.50911712646484","25471.14453125"
"56","E8","AA844","Eim","78.42896270751953","20004.927734375"
"56","E8","AA844","Eim","86.43815612792969","12385.392578125"
"56","E8","AA844","Eim","93.08729553222656","613.64013671875"
"56","E8","AA844","Eim","0.0","0.0"
"57","E9","AA844","Eim","83.43560791015625","24732.73828125"
"57","E9","AA844","Eim","71.18511199951172","12555.419921875"
"57","E9","AA844","Eim","77.68846130371094","21670.515625"
"57","E9","AA844","Eim","93.26625061035156","460.20556640625"
"57","E9","AA844","Eim","0.0","0.0"
"58","E10","AA743","Eim","79.95707702636719","42242.92578125"
"58","E10","AA743","Eim","74.66365051269531","32279.591796875"
"58","E10","AA743","Eim","61.808189392089844","11177.703125"
"58","E10","AA743","Eim","0.0","0.0"
"58","E10","AA743","Eim","0.0","0.0"
"59","E11","AA743","Eim","79.95707702636719","37881.23828125"
"59","E11","AA743","Eim","74.66365051269531","25374.431640625"
"59","E11","AA743","Eim","93.26625061035156","87.599609375"
"59","E11","AA743","Eim","0.0","0.0"
"59","E11","AA743","Eim","0.0","0.0"
"60","E12","AA743","Eim","79.80583190917969","43857.94921875"
"60","E12","AA743","Eim","74.66365051269531","35929.48046875"
"60","E12","AA743","Eim","84.04057312011719","8120.09228515625"
"60","E12","AA743","Eim","61.65694808959961","7615.8388671875"
"60","E12","AA743","Eim","0.0","0.0"
"61","F1","AA691","Eim","75.39865112304688","123975.625"
"61","F1","AA691","Eim","61.6546630859375","8689.705078125"
"61","F1","AA691","Eim","88.68954467773438","261.3515625"
"61","F1","AA691","Eim","0.0","0.0"
"61","F1","AA691","Eim","0.0","0.0"
"62","F2","AA691","Eim","75.39865112304688","92962.921875"
"62","F2","AA691","Eim","61.956729888916016","8417.63671875"
"62","F2","AA691","Eim","0.0","0.0"
"62","F2","AA691","Eim","0.0","0.0"
"62","F2","AA691","Eim","0.0","0.0"
"63","F3","AA691","Eim","75.39865112304688","102268.7734375"
"63","F3","AA691","Eim","82.64823150634766","5168.87109375"
"63","F3","AA691","Eim","91.25711059570312","160.59765625"
"63","F3","AA691","Eim","0.0","0.0"
"63","F3","AA691","Eim","0.0","0.0"
"64","F4","AA855","Eim","75.39865112304688","90645.34375"
"64","F4","AA855","Eim","84.61166381835938","17208.185546875"
"64","F4","AA855","Eim","93.52259826660156","150.1689453125"
"64","F4","AA855","Eim","0.0","0.0"
"64","F4","AA855","Eim","0.0","0.0"
"65","F5","AA855","Eim","75.25550842285156","82493.609375"
"65","F5","AA855","Eim","84.4736328125","16884.4296875"
"65","F5","AA855","Eim","80.24236297607422","13964.87890625"
"65","F5","AA855","Eim","61.80609893798828","8925.5634765625"
"65","F5","AA855","Eim","92.02947998046875","517.09375"
"66","F6","AA855","Eim","75.40662384033203","79438.9375"
"66","F6","AA855","Eim","84.77587127685547","10527.6455078125"
"66","F6","AA855","Eim","62.108333587646484","9275.451171875"
"66","F6","AA855","Eim","93.84288024902344","238.6005859375"
"66","F6","AA855","Eim","81.75353240966797","9285.7431640625"
"67","F7","AA739","Eim","75.10438537597656","36428.984375"
"67","F7","AA739","Eim","80.24236297607422","31708.01171875"
"67","F7","AA739","Eim","71.77981567382812","26479.373046875"
"67","F7","AA739","Eim","61.957218170166016","14224.0556640625"
"67","F7","AA739","Eim","91.1227798461914","699.7890625"
"68","F8","AA739","Eim","80.09124755859375","34404.93359375"
"68","F8","AA739","Eim","86.89151000976562","3065.462890625"
"68","F8","AA739","Eim","93.08729553222656","205.220703125"
"68","F8","AA739","Eim","0.0","0.0"
"68","F8","AA739","Eim","0.0","0.0"
"69","F9","AA739","Eim","79.65459442138672","33638.40625"
"69","F9","AA739","Eim","84.19181060791016","9358.3515625"
"69","F9","AA739","Eim","62.26191329956055","5453.126953125"
"69","F9","AA739","Eim","71.94131469726562","10645.017578125"
"69","F9","AA739","Eim","0.0","0.0"
"70","F10","AA791","Eim","74.81488800048828","92829.828125"
"70","F10","AA791","Eim","80.7132797241211","14073.876953125"
"70","F10","AA791","Eim","83.73809051513672","10120.7177734375"
"70","F10","AA791","Eim","93.26625061035156","7.1396484375"
"70","F10","AA791","Eim","0.0","0.0"
"71","F11","AA791","Eim","74.81488800048828","96972.1171875"
"71","F11","AA791","Eim","80.7132797241211","9849.3203125"
"71","F11","AA791","Eim","83.58685302734375","7740.6064453125"
"71","F11","AA791","Eim","0.0","0.0"
"71","F11","AA791","Eim","0.0","0.0"
"72","F12","AA791","Eim","74.81488800048828","90090.0078125"
"72","F12","AA791","Eim","80.5620346069336","6579.07958984375"
"72","F12","AA791","Eim","91.45137023925781","177.09423828125"
"72","F12","AA791","Eim","0.0","0.0"
"72","F12","AA791","Eim","0.0","0.0"
"73","G1","AA773","Eim","74.64349365234375","56615.78125"
"73","G1","AA773","Eim","80.98686981201172","42675.015625"
"73","G1","AA773","Eim","82.95030212402344","39748.9140625"
"73","G1","AA773","Eim","62.711891174316406","2573.287109375"
"73","G1","AA773","Eim","0.0","0.0"
"74","G2","AA773","Eim","74.49246215820312","44870.625"
"74","G2","AA773","Eim","80.53377532958984","43213.1015625"
"74","G2","AA773","Eim","83.70545959472656","31437.5546875"
"74","G2","AA773","Eim","62.258792877197266","2763.88134765625"
"74","G2","AA773","Eim","94.1267318725586","-81.904296875"
"75","G3","AA773","Eim","74.945556640625","46932.4140625"
"75","G3","AA773","Eim","81.2889404296875","36623.5390625"
"75","G3","AA773","Eim","93.37156677246094","93.1484375"
"75","G3","AA773","Eim","62.56085968017578","1971.88427734375"
"75","G3","AA773","Eim","0.0","0.0"
"76","G4","AA836","Eim","84.7626953125","40444.59765625"
"76","G4","AA836","Eim","72.68006134033203","15478.08203125"
"76","G4","AA836","Eim","62.8629264831543","3344.4111328125"
"76","G4","AA836","Eim","93.67362976074219","346.01513671875"
"76","G4","AA836","Eim","0.0","0.0"
"77","G5","AA836","Eim","74.49992370605469","40645.67578125"
"77","G5","AA836","Eim","84.77587127685547","31598.7421875"
"77","G5","AA836","Eim","81.30018615722656","30544.59375"
"77","G5","AA836","Eim","61.80609893798828","3303.42431640625"
"77","G5","AA836","Eim","93.84288024902344","30.0029296875"
"78","G6","AA836","Eim","74.65103912353516","65335.3125"
"78","G6","AA836","Eim","84.624755859375","19407.869140625"
"78","G6","AA836","Eim","61.957218170166016","6555.625"
"78","G6","AA836","Eim","0.0","0.0"
"78","G6","AA836","Eim","0.0","0.0"
"79","G7","AA696","Eim","81.30018615722656","47681.5546875"
"79","G7","AA696","Eim","85.22921752929688","26130.6171875"
"79","G7","AA696","Eim","94.44735717773438","651.23779296875"
"79","G7","AA696","Eim","0.0","0.0"
"79","G7","AA696","Eim","0.0","0.0"
"80","G8","AA696","Eim","80.9979476928711","43385.5234375"
"80","G8","AA696","Eim","87.34485626220703","15630.78515625"
"80","G8","AA696","Eim","0.0","0.0"
"80","G8","AA696","Eim","0.0","0.0"
"80","G8","AA696","Eim","0.0","0.0"
"81","G9","AA696","Eim","79.65459442138672","34425.66796875"
"81","G9","AA696","Eim","93.719970703125","843.27587890625"
"81","G9","AA696","Eim","0.0","0.0"
"81","G9","AA696","Eim","0.0","0.0"
"81","G9","AA696","Eim","0.0","0.0"
"82","G10","AA751","Eim","78.44466400146484","33173.421875"
"82","G10","AA751","Eim","84.19181060791016","22907.2890625"
"82","G10","AA751","Eim","61.95943069458008","6340.19287109375"
"82","G10","AA751","Eim","0.0","0.0"
"82","G10","AA751","Eim","0.0","0.0"
"83","G11","AA751","Eim","81.92320251464844","27580.9140625"
"83","G11","AA751","Eim","74.96613311767578","20500.603515625"
"83","G11","AA751","Eim","61.20322799682617","7167.388671875"
"83","G11","AA751","Eim","0.0","0.0"
"83","G11","AA751","Eim","0.0","0.0"
"84","G12","AA751","Eim","75.11737060546875","36289.4765625"
"84","G12","AA751","Eim","84.04057312011719","19452.759765625"
"84","G12","AA751","Eim","79.35211181640625","18537.798828125"
