"Mouse_ID","MC.Eimeria","delta_ct_cewe_MminusE","eimeriaSpecies","OPG","Sex","Latitude","Longitude","Year","HI"
"AA_0313",NA,-12.09,"Negative",0,"F",52.497666,13.676085,2017,0
"AA_0314",NA,-2.82,"E_ferrisi",7708333.33333333,"M",52.2428,13.8675,2017,0.3
"AA_0315",NA,-14.33,"Negative",0,"F",52.497666,13.676085,2017,0.48
"AA_0316",NA,-3.06,"E_ferrisi",302419.35483871,"M",52.7914,14.1161,2017,0.631578947
"AA_0317",NA,-6.98,"E_ferrisi",153061.224489796,"M",52.2428,13.8675,2017,0.25
"AA_0318",NA,-5,"Negative",0,"F",52.7914,14.1161,2017,0.826086957
"AA_0319",NA,-7.82,"E_ferrisi",3080357.14285714,"F",51.8978,13.8103,2017,0.08
"AA_0320",NA,-11.29,"Negative",0,"M",51.8978,13.8103,2017,0.055555556
"AA_0321",NA,-8.73,"E_vermiformis",213414.634146341,"M",53.1119,13.4622,2017,0.894736842
"AA_0322",NA,-12.66,"Negative",0,"M",52.2694,13.8339,2017,0.15
"AA_0323",NA,-3.605,"Negative",0,"F",53.1119,13.4622,2017,0.826086957
"AA_0324",NA,-10.99,"Negative",0,"F",53.1119,13.4622,2017,0.84
"AA_0325",NA,-6.98,"Negative",258620.689655172,"M",53.0497,13.4408,2017,0.8
"AA_0326",NA,-10.93,"Negative",0,"M",53.1247,13.4589,2017,0.7
"AA_0327",NA,-13.61,"Negative",0,"F",53.0497,13.4408,2017,0.72
"AA_0328",NA,-7.13,"E_falciformis",0,"F",53.0497,13.4408,2017,0.76
"AA_0329",NA,-12.05,"Negative",0,"M",51.9661,14.0189,2017,1
"AA_0330",NA,-11.63,"Negative",0,"M",52.5692,13.9906,2017,0.894736842
"AA_0331",NA,-9.42,"Negative",0,"F",53.1153,13.4781,2017,0.956521739
"AA_0332",NA,-9.93,"Negative",0,"F",53.1153,13.4781,2017,0.956521739
"AA_0333",NA,-12.48,"Negative",0,"M",53.1153,13.4781,2017,0.9
"AA_0334",NA,-10.985,"Negative",0,"M",52.6825,14.0078,2017,0.947368421
"AA_0335",NA,-11.02,"Negative",0,"F",51.9744,14.0542,2017,0.84
"AA_0336",NA,NA,"Negative",0,"M",53.1153,13.4781,2017,0.944444444
"AA_0337",NA,-13.45,"Negative",0,"F",52.7667,14.0817,2017,0.913043478
"AA_0338",NA,-15.57,"Negative",2e+05,"M",52.2694,13.8339,2017,0.15
"AA_0339",NA,-14.46,"Negative",0,"M",53.1247,13.4589,2017,0.888888889
"AA_0340",NA,-11.31,"Negative",0,"F",53.1247,13.4589,2017,0.826086957
"AA_0341",NA,-9.76,"Negative",0,"F",53.1275,13.4864,2017,0.913043478
"AA_0342",NA,-9.67,"Negative",0,"F",53.1247,13.4589,2017,0.84
"AA_0343",NA,-11.9933333333333,"E_falciformis",0,"F",51.9661,14.0189,2017,0.76
"AA_0344",NA,-10.785,"Negative",0,"F",53.0497,13.4408,2017,0.8
"AA_0345",NA,-7.83,"E_falciformis",0,"M",53.0497,13.4408,2017,0.8
"AA_0346",NA,-10.7,"Negative",239726.02739726,"F",53.0497,13.4408,2017,0.739130435
"AA_0347",NA,-10.955,"E_falciformis",625000,"M",53.0497,13.4408,2017,0.705882353
"AA_0348",NA,-4.945,"E_ferrisi",0,"M",53.0497,13.4408,2017,0.777777778
"AA_0349",NA,-12.83,"E_vermiformis",40816.3265306122,"F",53.0497,13.4408,2017,0.695652174
