"","Mouse_ID","Ct.Eimeria","MC.Eimeria","Ct.Mus","delta","EXP_type","IFNy","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","Position"
"54","AA_0708",32.6733333333333,FALSE,21.7433333333333,-10.93,"wild",NA,39.2,6.28,23.3,14.5,6.07,20,8.04,6.74,19.6,15.2,26.8,7.46,1.49,0,"mLN"
"55","AA_0709",33.4233333333333,FALSE,22.87,-10.5533333333333,"wild",16.3952304651993,55.8,4.67,13.9,9.36,3.05,10.8,3.34,3.58,16,10.4,15.1,1.66,0.23,11.9,"mLN"
"56","AA_0709",33.4233333333333,FALSE,22.87,-10.5533333333333,"wild",16.3952304651993,39,6.49,16.7,6.16,10.8,8.38,1.96,6.67,14,24.7,8.59,9.82,3.45,23,"spleen"
"57","AA_0710",35.1933333333333,FALSE,24.73,-10.4633333333333,"wild",NA,59.2,5.46,27.2,19.3,0.99,43.7,2.26,11,20.8,6.18,27.9,1.87,0.28,16.9,"mLN"
"58","AA_0710",35.1933333333333,FALSE,24.73,-10.4633333333333,"wild",NA,32.9,8.1,20.7,7.02,0.79,41.7,0.62,13.3,14.4,3.47,22.4,3.57,0.034,14.3,"spleen"
"59","AA_0711",31.6766666666667,FALSE,24.11,-7.56666666666667,"wild",NA,43.4,3.33,25.4,4.28,2.35,37.9,0.64,22.9,8.99,12.3,35.3,3.7,0.26,1.89,"spleen"
"60","AA_0711",31.6766666666667,FALSE,24.11,-7.56666666666667,"wild",NA,59.4,3.74,29.9,9.26,2.06,23.6,1.88,12.4,14.3,6.83,23.1,1.35,0.042,5.96,"mLN"
"61","AA_0713",32.7933333333333,FALSE,17.66,-15.1333333333333,"wild",NA,5.48,14.9,59.2,4.02,4.14,92.7,6.56,24.6,3.24,4.35,76.7,3.04,0.91,2.78,"spleen"
"62","AA_0713",32.7933333333333,FALSE,17.66,-15.1333333333333,"wild",NA,34.9,6.47,53,14.9,3.15,59.6,6.36,13.6,16.6,13.8,43.7,0.19,0.41,1.22,"mLN"
"63","AA_0714",34.3966666666667,FALSE,21.9166666666667,-12.48,"wild",NA,40.8,9.95,21.3,5.29,3.89,26.8,1.5,11.6,10.2,19,20.8,6.01,0.069,26.1,"spleen"
"64","AA_0714",34.3966666666667,FALSE,21.9166666666667,-12.48,"wild",NA,53.6,4.4,21.4,7.36,1.87,37.6,1.02,24.5,19.3,12.9,18.7,0.38,0.031,9.66,"mLN"
"65","AA_0715",34.0966666666667,FALSE,23.68,-10.4166666666667,"wild",30.7142601406632,38.7,7.03,27.5,4.27,2.98,52.5,0.91,30.3,13.5,1.39,44.6,7.55,0.17,10.8,"spleen"
"66","AA_0715",34.0966666666667,FALSE,23.68,-10.4166666666667,"wild",30.7142601406632,47.3,4.47,34.6,15,4.15,60.2,1.49,28.1,25.6,5.09,64.6,2.03,0.22,6.59,"mLN"
"67","AA_0716",32.3566666666667,TRUE,17.1133333333333,-15.2433333333333,"wild",NA,40.5,1.65,61.5,7.69,2.06,50,4.76,5.41,8.41,6.71,36.4,5.63,0,0,"mLN"
"68","AA_0716",32.3566666666667,TRUE,17.1133333333333,-15.2433333333333,"wild",NA,20.6,9.98,41.9,9.54,2.67,70.7,7.18,19.9,4.52,9.42,44,3.51,0,2.46,"spleen"
"69","AA_0717",34.1333333333333,FALSE,23.0266666666667,-11.1066666666667,"wild",29.3065307802482,57.6,7.13,32.3,6.57,2.55,63.9,1.6,58.8,17.5,7.12,56.3,0.66,0.45,8.25,"mLN"
"70","AA_0717",34.1333333333333,FALSE,23.0266666666667,-11.1066666666667,"wild",29.3065307802482,10.8,12.3,24.6,6.1,1.35,54.9,3.98,25.3,4.48,1.53,64.8,11.7,0.32,14.9,"spleen"
"71","AA_0719",31.8366666666667,TRUE,22.7966666666667,-9.04,"wild",5.35792013692603,50.8,8.19,32.8,15.6,0.85,70.2,2.97,19.3,14.8,5.44,47.2,0.13,0.72,1.61,"mLN"
"72","AA_0719",31.8366666666667,TRUE,22.7966666666667,-9.04,"wild",5.35792013692603,14.5,11.7,22.5,6.46,1.17,38.7,3.55,16.8,6.62,2.88,46.7,4.21,0.29,2.06,"spleen"
"73","AA_0720",31.9066666666667,FALSE,16.6433333333333,-15.2633333333333,"wild",NA,11.1,9.08,51.4,14.7,3.01,49,9.9,23.4,4.4,6.62,60.9,3.46,0.38,0.94,"spleen"
"74","AA_0720",31.9066666666667,FALSE,16.6433333333333,-15.2633333333333,"wild",NA,48.4,5.41,51.2,12.2,1.59,78,4.71,14.8,22.5,11.8,61.5,0.054,0.11,1.28,"mLN"
"75","AA_0721",32.6566666666667,TRUE,23.52,-9.13666666666667,"wild",17.8763763167597,27.5,9.53,44.3,4.03,1.93,64.8,0.87,11.3,14.4,7.34,39.1,0.048,0.8,1.01,"mLN"
