Name,Ct SYBR,Target SYBR,Ct Dev SYBR
CEWE_AA_544,24.420000000000002,IRG6,1.06
CEWE_AA_544,24.420000000000002,IRG6,1.06
CEWE_AA_650,29.190000000000001,IRG6,0.49
CEWE_AA_650,28.219999999999999,IRG6,0.49
CEWE_AA_650,28.640000000000001,IRG6,0.49
CEWE_AA_555,30.48,IRG6,0.69
CEWE_AA_555,31.440000000000001,IRG6,0.69
CEWE_AA_555,30.109999999999999,IRG6,0.69
CEWE_AA_556,26.620000000000001,IRG6,0.55
CEWE_AA_556,26.850000000000001,IRG6,0.55
CEWE_AA_556,25.800000000000001,IRG6,0.55
CEWE_AA_547,19.579999999999998,GAPDH,0.21
CEWE_AA_547,19.190000000000001,GAPDH,0.21
CEWE_AA_547,19.280000000000001,GAPDH,0.21
CEWE_AA_549,18.530000000000001,GAPDH,0.18
CEWE_AA_549,18.18,GAPDH,0.18
CEWE_AA_549,18.359999999999999,GAPDH,0.18
CEWE_AA_559,19.59,GAPDH,0.07
CEWE_AA_559,19.449999999999999,GAPDH,0.07
CEWE_AA_559,19.510000000000002,GAPDH,0.07
CEWE_AA_661,20.350000000000001,GAPDH,0.6
CEWE_AA_661,19.190000000000001,GAPDH,0.6
CEWE_AA_661,19.539999999999999,GAPDH,0.6
CEWE_AA_547,21.16,beta-Actin,0.45
CEWE_AA_547,20.969999999999999,beta-Actin,0.45
CEWE_AA_547,21.82,beta-Actin,0.45
CEWE_AA_549,22.530000000000001,beta-Actin,0.29
CEWE_AA_549,22.34,beta-Actin,0.29
CEWE_AA_549,21.969999999999999,beta-Actin,0.29
CEWE_AA_559,23.649999999999999,beta-Actin,0.19
CEWE_AA_559,23.350000000000001,beta-Actin,0.19
CEWE_AA_559,23.690000000000001,beta-Actin,0.19
CEWE_AA_661,20.149999999999999,beta-Actin,0.41
CEWE_AA_661,19.469999999999999,beta-Actin,0.41
CEWE_AA_661,19.41,beta-Actin,0.41
CEWE_AA_547,27.300000000000001,IL-6,0.26
CEWE_AA_547,27.23,IL-6,0.26
CEWE_AA_547,27.710000000000001,IL-6,0.26
CEWE_AA_549,27.550000000000001,IL-6,0.23
CEWE_AA_549,27.940000000000001,IL-6,0.23
CEWE_AA_549,27.52,IL-6,0.23
CEWE_AA_559,26.170000000000002,IL-6,0.21
CEWE_AA_559,26.280000000000001,IL-6,0.21
CEWE_AA_559,26.579999999999998,IL-6,0.21
CEWE_AA_661,28.329999999999998,IL-6,1.14
CEWE_AA_661,27.510000000000002,IL-6,1.14
CEWE_AA_661,26.079999999999998,IL-6,1.14
CEWE_AA_547,26.66,IL-12b,0.3
CEWE_AA_547,26.969999999999999,IL-12b,0.3
CEWE_AA_547,27.25,IL-12b,0.3
CEWE_AA_549,24.75,IL-12b,0.5
CEWE_AA_549,24.059999999999999,IL-12b,0.5
CEWE_AA_549,23.780000000000001,IL-12b,0.5
CEWE_AA_559,29.879999999999999,IL-12b,0.32
CEWE_AA_559,29.760000000000002,IL-12b,0.32
CEWE_AA_559,30.370000000000001,IL-12b,0.32
CEWE_AA_661,29.52,IL-12b,0.24
CEWE_AA_661,29.109999999999999,IL-12b,0.24
CEWE_AA_661,29.510000000000002,IL-12b,0.24
CEWE_AA_547,29.039999999999999,GBP2,0.21
CEWE_AA_547,28.609999999999999,GBP2,0.21
CEWE_AA_547,28.870000000000001,GBP2,0.21
CEWE_AA_549,26.07,GBP2,0.73
CEWE_AA_549,24.640000000000001,GBP2,0.73
CEWE_AA_549,25.149999999999999,GBP2,0.73
CEWE_AA_559,25.82,GBP2,0.48
CEWE_AA_559,25.780000000000001,GBP2,0.48
CEWE_AA_559,26.629999999999999,GBP2,0.48
CEWE_AA_661,26.809999999999999,GBP2,0.33
CEWE_AA_661,26.600000000000001,GBP2,0.33
