# File Name: qPCR_eimeria_field_faeces_JK_09022022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 10:37:01 AM UTC
# Run End Date/Time: 2022-02-09 11:58:09 AM UTC
# Run Duration: 81 minutes 8 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 12:51:44 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 12:52:30 PM UTC
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"57","E9","AA756","Eim","90.5380859375","332.36181640625"
"57","E9","AA756","Eim","0.0","0.0"
"57","E9","AA756","Eim","0.0","0.0"
"58","E10","AA761","Eim","80.25598907470703","42283.828125"
"58","E10","AA761","Eim","83.28013610839844","31122.0390625"
"58","E10","AA761","Eim","0.0","0.0"
"58","E10","AA761","Eim","0.0","0.0"
"58","E10","AA761","Eim","0.0","0.0"
"59","E11","AA761","Eim","74.5101089477539","47377.0546875"
"59","E11","AA761","Eim","80.8608169555664","20155.44921875"
"59","E11","AA761","Eim","61.95989990234375","2897.2626953125"
"59","E11","AA761","Eim","92.65499877929688","13.3115234375"
"59","E11","AA761","Eim","0.0","0.0"
"60","E12","AA761","Eim","74.5101089477539","56700.8359375"
"60","E12","AA761","Eim","78.89512634277344","15600.16015625"
"60","E12","AA761","Eim","85.69945526123047","9776.3671875"
"60","E12","AA761","Eim","61.95989990234375","4724.49462890625"
"60","E12","AA761","Eim","0.0","0.0"
"61","F1","AA806","Eim","74.63939666748047","95464.671875"
"61","F1","AA806","Eim","79.77294158935547","65726.65625"
"61","F1","AA806","Eim","61.95652389526367","9808.4599609375"
"61","F1","AA806","Eim","90.79496002197266","346.03125"
"61","F1","AA806","Eim","0.0","0.0"
"62","F2","AA806","Eim","74.3374252319336","69743.0859375"
"62","F2","AA806","Eim","79.47096252441406","47003.06640625"
"62","F2","AA806","Eim","91.39891052246094","4.97509765625"
"62","F2","AA806","Eim","62.10750961303711","4251.3271484375"
"62","F2","AA806","Eim","0.0","0.0"
"63","F3","AA806","Eim","79.6219482421875","47198.12890625"
"63","F3","AA806","Eim","74.7903823852539","21285.953125"
"63","F3","AA806","Eim","90.9459457397461","137.189453125"
"63","F3","AA806","Eim","63.31540298461914","7265.14990234375"
"63","F3","AA806","Eim","0.0","0.0"
"64","F4","AA810","Eim","84.00056457519531","49076.140625"
"64","F4","AA810","Eim","80.37688446044922","36980.9375"
"64","F4","AA810","Eim","0.0","0.0"
"64","F4","AA810","Eim","0.0","0.0"
"64","F4","AA810","Eim","0.0","0.0"
"65","F5","AA810","Eim","80.3890380859375","41033.453125"
"65","F5","AA810","Eim","85.37498474121094","27423.837890625"
"65","F5","AA810","Eim","74.19438171386719","17990.185546875"
"65","F5","AA810","Eim","93.83597564697266","1242.96875"
"65","F5","AA810","Eim","0.0","0.0"
"66","F6","AA810","Eim","80.69121551513672","41241.3984375"
"66","F6","AA810","Eim","0.0","0.0"
"66","F6","AA810","Eim","0.0","0.0"
"66","F6","AA810","Eim","0.0","0.0"
"66","F6","AA810","Eim","0.0","0.0"
"67","F7","AA738","Eim","82.95755004882812","76818.9921875"
"67","F7","AA738","Eim","0.0","0.0"
"67","F7","AA738","Eim","0.0","0.0"
"67","F7","AA738","Eim","0.0","0.0"
"67","F7","AA738","Eim","0.0","0.0"
"68","F8","AA738","Eim","83.108642578125","52191.33984375"
"68","F8","AA738","Eim","74.19438171386719","18445.44921875"
"68","F8","AA738","Eim","0.0","0.0"
"68","F8","AA738","Eim","0.0","0.0"
"68","F8","AA738","Eim","0.0","0.0"
"69","F9","AA738","Eim","83.1289291381836","41464.73046875"
"69","F9","AA738","Eim","74.35890197753906","33851.70703125"
"69","F9","AA738","Eim","93.10861206054688","590.36181640625"
"69","F9","AA738","Eim","0.0","0.0"
"69","F9","AA738","Eim","0.0","0.0"
"70","F10","AA714","Eim","82.97772216796875","55989.453125"
"70","F10","AA714","Eim","0.0","0.0"
"70","F10","AA714","Eim","0.0","0.0"
"70","F10","AA714","Eim","0.0","0.0"
"70","F10","AA714","Eim","0.0","0.0"
"71","F11","AA714","Eim","82.97772216796875","44229.23046875"
"71","F11","AA714","Eim","93.41102600097656","272.107421875"
"71","F11","AA714","Eim","89.93325805664062","804.623046875"
"71","F11","AA714","Eim","0.0","0.0"
"71","F11","AA714","Eim","0.0","0.0"
"72","F12","AA714","Eim","82.8265151977539","41554.921875"
"72","F12","AA714","Eim","87.81636047363281","3671.963623046875"
"72","F12","AA714","Eim","93.71344757080078","261.38720703125"
"72","F12","AA714","Eim","0.0","0.0"
"72","F12","AA714","Eim","0.0","0.0"
"73","G1","AA807","Eim","75.24333953857422","97258.3203125"
"73","G1","AA807","Eim","82.94365692138672","10806.5390625"
"73","G1","AA807","Eim","93.814697265625","-100.36865234375"
"73","G1","AA807","Eim","89.73805236816406","143.53857421875"
"73","G1","AA807","Eim","0.0","0.0"
"74","G2","AA807","Eim","78.86701965332031","58636.40234375"
"74","G2","AA807","Eim","83.2456283569336","42118.015625"
"74","G2","AA807","Eim","91.39891052246094","976.3681640625"
"74","G2","AA807","Eim","0.0","0.0"
"74","G2","AA807","Eim","0.0","0.0"
"75","G3","AA807","Eim","82.79267120361328","27464.962890625"
"75","G3","AA807","Eim","69.80782318115234","14099.2734375"
"75","G3","AA807","Eim","93.814697265625","509.63671875"
"75","G3","AA807","Eim","79.77294158935547","15396.3759765625"
"75","G3","AA807","Eim","90.9459457397461","788.0302734375"
"76","G4","AA726","Eim","82.64168548583984","78548.890625"
"76","G4","AA726","Eim","91.09693145751953","394.21044921875"
"76","G4","AA726","Eim","0.0","0.0"
"76","G4","AA726","Eim","0.0","0.0"
"76","G4","AA726","Eim","0.0","0.0"
"77","G5","AA726","Eim","74.34547424316406","61817.4375"
"77","G5","AA726","Eim","82.35319519042969","48522.0390625"
"77","G5","AA726","Eim","91.11637115478516","800.6123046875"
"77","G5","AA726","Eim","0.0","0.0"
"77","G5","AA726","Eim","0.0","0.0"
"78","G6","AA726","Eim","82.20211029052734","41349.640625"
"78","G6","AA726","Eim","61.65398025512695","4457.841796875"
"78","G6","AA726","Eim","93.08052825927734","593.1279296875"
"78","G6","AA726","Eim","0.0","0.0"
"78","G6","AA726","Eim","0.0","0.0"
"79","G7","AA780","Eim","79.18032836914062","67977.4921875"
"79","G7","AA780","Eim","92.77835083007812","1220.8203125"
"79","G7","AA780","Eim","0.0","0.0"
"79","G7","AA780","Eim","0.0","0.0"
"79","G7","AA780","Eim","0.0","0.0"
"80","G8","AA780","Eim","74.4965591430664","56669.30078125"
"80","G8","AA780","Eim","78.42488098144531","19668.62890625"
"80","G8","AA780","Eim","84.61953735351562","10351.7451171875"
"80","G8","AA780","Eim","93.38270568847656","-124.3720703125"
"80","G8","AA780","Eim","0.0","0.0"
"81","G9","AA780","Eim","74.35890197753906","36572.80078125"
"81","G9","AA780","Eim","84.7922134399414","15610.634765625"
"81","G9","AA780","Eim","79.19754028320312","15987.65234375"
"81","G9","AA780","Eim","94.16706848144531","124.2236328125"
"81","G9","AA780","Eim","0.0","0.0"
"82","G10","AA815","Eim","74.66131591796875","57283.32421875"
"82","G10","AA815","Eim","79.65116119384766","48816.15234375"
"82","G10","AA815","Eim","84.33859252929688","6361.21630859375"
"82","G10","AA815","Eim","92.65499877929688","1145.06591796875"
"82","G10","AA815","Eim","0.0","0.0"
"83","G11","AA815","Eim","74.66131591796875","51271.47265625"
"83","G11","AA815","Eim","79.49995422363281","17428.51171875"
"83","G11","AA815","Eim","62.564727783203125","3598.6767578125"
"83","G11","AA815","Eim","0.0","0.0"
"83","G11","AA815","Eim","0.0","0.0"
"84","G12","AA815","Eim","74.66131591796875","65463.421875"
"84","G12","AA815","Eim","79.34874725341797","22007.62109375"
"84","G12","AA815","Eim","62.26231384277344","5417.75634765625"
"84","G12","AA815","Eim","0.0","0.0"
"84","G12","AA815","Eim","0.0","0.0"
"85","H1","AA809","Eim","80.67886352539062","52505.37890625"
"85","H1","AA809","Eim","83.09464263916016","50857.36328125"
"85","H1","AA809","Eim","92.00285339355469","1271.525390625"
"85","H1","AA809","Eim","76.75320434570312","29239.00390625"
"85","H1","AA809","Eim","0.0","0.0"
"86","H2","AA809","Eim","78.56504821777344","40874.0625"
"86","H2","AA809","Eim","93.5127182006836","-151.541015625"
"86","H2","AA809","Eim","71.7706527709961","15202.9111328125"
"86","H2","AA809","Eim","83.39662170410156","28342.40625"
"86","H2","AA809","Eim","0.0","0.0"
