Mouse_ID,Transect,State,Address,Code,Latitude,Longitude,Sex,Status,Species,Year,Capture,Dissection,Dissectors,Ectoparasites,Body_weight,Body_length,Tail_length,Spleen_mass,Left_Testis_mass,Right_Testis_mass,Left.epididymis.weight,Seminal.vesicle.weight,Left.ovarium.weight,Right.ovarium.weight,Total,Embryo_left,Embryo_right,Feces_weight,Worms_presence,Syphacia_cecum_colon,Cysticercus_tenia_teniformis_liver,Catotenia_pusilla_SI,Mastophorus_stomach_SI,Heterakis_spumosa_colon_cecum,Tapeworm_SI,Trichuris_cecum,Aspiculuris_colon,Hymenolepis_SI,Rodentolepis_liver_digtract,Mesocoides_body_cavities,Mesocoides_lungs,Heigmosomoides_polyguis,H_diminita?,Notes
AA_0288,HZ_BR,Germany,Alt-Gielsdorf 68 15345 Alt-Landsberg,GIEL68,52.6053,13.8756,male,young,Mus musculus,2017,12/09/17,13/09/17,German,TRUE,7.01,62.14,60.69,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,TRUE,3,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0289,HZ_BR,Germany,Alt-Gielsdorf 68 15345 Alt-Landsberg,GIEL68,52.6053,13.8756,male,adult,Mus musculus,2017,12/09/17,13/09/17,German,FALSE,8.82,63.95,59.64,0.03,0.018,0.019,0.006,NA,NA,NA,NA,NA,NA,0.08,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0290,HZ_BR,Germany,Alt-Gielsdorf 68 15345 Alt-Landsberg,GIEL68,52.6053,13.8756,female,adult,Mus musculus,2017,12/09/17,13/09/17,German,TRUE,15.34,82.63,73.52,0.06,NA,NA,NA,NA,NA,NA,NA,0,0,0.18,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0291,HZ_BR,Germany,Wildpark Schorfheide,SCHORFHOF,52.921731,13.547089,NA,adult,Mus musculus,2017,12/09/17,13/09/17,German,FALSE,13.94,73.79,75.48,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0292,HZ_BR,Germany,Wildpark Schorfheide,SCHORFHOF,52.921731,13.547089,female,adult,Mus musculus,2017,12/09/17,13/09/17,German,FALSE,15.55,74.77,80.31,0.02,NA,NA,NA,NA,NA,NA,NA,0,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,extra piece of liver in ethanol with potential cisticercous. Big mes lymph nodes
AA_0293,HZ_BR,Germany,Berkenlatten,NA,53.1406,13.7586,na,adult,Mus musculus,2017,13/09/17,13/09/17,Czech,FALSE,13.69,74.77,74.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,Died in cage. Small protocol 
AA_0294,HZ_BR,Germany,"Croustillier 17, 16259 oderage",NA,52.791376,14.116181,male,young,Mus musculus,2017,13/09/17,13/09/17,Czech,FALSE,3.96,53.98,50.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,Died in cage. Small protocol 
AA_0295,HZ_BR,Germany,"Croustillier 17, 16259 oderage",NA,52.791376,14.116181,male,adult,Mus musculus,2017,13/09/17,14/09/17,Czech,FALSE,16.24,82.04,69.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,Died in cage. Small protocol 
AA_0296,HZ_BR,Germany,Alt Gaul 26b 16269 Wriezen florian köhler,NA,52.738064,14.095413,male,adult,Mus musculus,2017,13/09/17,14/09/17,Czech,FALSE,14.62,77.35,68.87,0.0288,0.0651,0.0633,0.0156,0.0887,NA,NA,NA,NA,NA,0.91,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA
AA_0297,HZ_BR,Germany,"Croustillier 17, 16259 oderage",NA,52.791376,14.116181,female,pregadultnt,Mus musculus,2017,13/09/17,14/09/17,Czech,FALSE,17.74,82.33,79.2,0.0316,NA,NA,NA,NA,NA,NA,NA,3,3,0.39,TRUE,0,0,0,0,17,0,96,0,0,0,0,0,0,,NA
