"Mouse_ID","OPG","counter","year"
"AA_0406",0,"Lorenzo","2017"
"AA_0407",0,"Lorenzo","2017"
"AA_0408",44872,"Lorenzo","2017"
"AA_0409",47297,"Lorenzo","2017"
"AA_0410",0,"Lorenzo","2017"
"AA_0411",0,"Lorenzo","2017"
"AA_0412",0,"Lorenzo","2017"
"AA_0413",0,"Lorenzo","2017"
"AA_0414",0,"Lorenzo","2017"
"AA_0422",0,"Lorenzo","2017"
"AA_0423",0,"Lorenzo","2017"
"AA_0424",0,"Lorenzo","2017"
"AA_0425",0,"Lorenzo","2017"
"AA_0426",0,"Lorenzo","2017"
"AA_0427",2016,"Lorenzo","2017"
"AA_0428",14706,"Lorenzo","2017"
"AA_0429",7716,"Lorenzo","2017"
"AA_0430",478516,"Lorenzo","2017"
"AA_0431",22059,"Lorenzo","2017"
"AA_0432",0,"Lorenzo","2017"
"AA_0433",0,"Lorenzo","2017"
"AA_0434",0,"Lorenzo","2017"
"AA_0435",0,"Lorenzo","2017"
"AA_0436",7813,"Lorenzo","2017"
"AA_0437",0,"Lorenzo","2017"
"AA_0438",0,"Lorenzo","2017"
"AA_0439",0,"Lorenzo","2017"
"AA_0440",0,"Lorenzo","2017"
"AA_0441",0,"Lorenzo","2017"
"AA_0442",0,"Lorenzo","2017"
"AA_0443",0,"Lorenzo","2017"
"AA_0444",0,"Lorenzo","2017"
"AA_0445",214286,"Lorenzo","2017"
"AA_0446",1429348,"Lorenzo","2017"
"AA_0447",4e+05,"Lorenzo","2017"
"AA_0448",0,"Lorenzo","2017"
"AA_0449",0,"Lorenzo","2017"
"AA_0450",0,"Lorenzo","2017"
"AA_0451",0,"Lorenzo","2017"
"AA_0452",81522,"Lorenzo","2017"
"AA_0453",0,"Lorenzo","2017"
"AA_0454",504808,"Lorenzo","2017"
"AA_0455",27778,"Lorenzo","2017"
"AA_0456",0,"Lorenzo","2017"
"AA_0457",0,"Lorenzo","2017"
"AA_0458",0,"Lorenzo","2017"
"AA_0459",0,"Lorenzo","2017"
"AA_0460",0,"Lorenzo","2017"
"AA_0461",0,"Lorenzo","2017"
"AA_0462",0,"Lorenzo","2017"
"AA_0463",0,"Lorenzo","2017"
"AA_0465",23026,"Lorenzo","2017"
"AA_0466",0,"Lorenzo","2017"
"AA_0467",5000,"Lorenzo","2017"
"AA_0468",0,"Lorenzo","2017"
"AA_0469",451705,"Lorenzo","2017"
"AA_0470",0,"Lorenzo","2017"
"AA_0471",0,"Lorenzo","2017"
"AA_0489",0,"Lorenzo","2017"
"AA_0490",0,"Lorenzo","2017"
"AA_0491",0,"Lorenzo","2017"
"AA_0495",152778,"Lorenzo","2017"
"AA_0496",23973,"Lorenzo","2017"
"AA_0497",209615,"Lorenzo","2017"
"AA_0498",0,"Lorenzo","2017"
"AA_0499",0,"Lorenzo","2017"
"AA_0500",0,"Lorenzo","2017"
"AA_0501",0,"Lorenzo","2017"
"AA_0502",0,"Lorenzo","2017"
"AA_0503",0,"Lorenzo","2017"
"AA_0504",0,"Lorenzo","2017"
"AA_0505",0,"Lorenzo","2017"
"AA_0506",0,"Lorenzo","2017"
"AA_0509",0,"Lorenzo","2017"
"AA_0510",0,"Lorenzo","2017"
"AA_0511",0,"Lorenzo","2017"
"AA_0512",0,"Lorenzo","2017"
"AA_0513",0,"Lorenzo","2017"
"SK_3103",37641,"several","2015"
"SK_3106",0,"several","2015"
"SK_3126",128968,"several","2015"
"SK_3127",410053,"several","2015"
"SK_3129",0,"several","2015"
"SK_3131",299401,"several","2015"
"SK_3137",0,"several","2015"
"SK_3140",27850,"several","2015"
"SK_3141",0,"several","2015"
"SK_3144",0,"several","2015"
"SK_3145",14505,"several","2015"
"SK_3146",0,"several","2015"
"SK_3151",118243,"several","2015"
"SK_3162",62720,"several","2015"
"SK_3165",0,"several","2015"
"SK_3168",99461,"several","2015"
"SK_3184",119048,"several","2015"
"SK_3185",0,"several","2015"
"SK_3186",61893,"several","2015"
"AA_0147",0,"several","2016"
"AA_0148",0,"several","2016"
"AA_0149",0,"several","2016"
"AA_0150",0,"several","2016"
"AA_0151",0,"several","2016"
"AA_0152",0,"several","2016"
"AA_0153",0,"several","2016"
"AA_0154",0,"several","2016"
"AA_0155",0,"several","2016"
"AA_0156",0,"several","2016"
"AA_0157",0,"several","2016"
"AA_0158",0,"several","2016"
"AA_0159",0,"several","2016"
"AA_0160",0,"several","2016"
"AA_0161",11604,"several","2016"
