Year ,Transect,Code ,Mouse_ID,CEWE_Tissue,CEWE_DNA,qPCR_Result_C,18S_PCR_C,18S_Sequence_C,COI_PCR_C,COI_Sequence_C,ORF_PCR_C,ORF_Sequence_C,ILWE_Tissue,ILWE_DNA,qPCR_Result_I,18S_PCR_I,18S_Sequence_I,COI_PCR_I,COI_Sequence_I,ORF_PCR_I,ORF_Sequence_I,
2014,HZ_BR ,NEULO9 ,SK_2920,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,NEULO9 ,SK_2921,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,BOECK ,SK_2922,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,SCHM1 ,SK_2923,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,TEMM ,SK_2924,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,LUEB21 ,SK_2925,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,ZEHL21 ,SK_2926,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,STEG1 ,SK_2927,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,STEG1 ,SK_2928,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,STEG1 ,SK_2929,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,AHDF7 ,SK_2930,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,AHDF7 ,SK_2931,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,STEG1 ,SK_2932,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,AHDF7 ,SK_2933,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,AHDF7 ,SK_2934,,,,,,,,,,,,,,,,,,,
2014,HZ_BR ,NETEM7 ,SK_2935,,,,,,,,,,,,,,,,,,,
2015,HZ_BAV ,LERA9 ,SK_2951,,,,,,,,,,,,,,,,,,,
2015,HZ_BAV ,LERA9 ,SK_2952,,,,,,,,,,,,,,,,,,,
2015,HZ_BAV ,LERA9 ,SK_2953,,,,,,,,,,,,,,,,,,,
2015,HZ_BAV ,LERA9 ,SK_2954,,,,,,,,,,,,,,,,,,,
2015,HZ_BAV ,LETZ ,SK_2955,,,,,,,,,,,,,,,,,,,
2015,HZ_BAV ,LETZ ,SK_2956,,,,,,,,,,,,,,,,,,,
2015,HZ_BAV ,LETZ ,SK_2957,,,,,,,,,,,,,,,,,,,
2015,HZ_BAV ,OBERT3A ,SK_2958,,,,,,,,,,,,,,,,,,,
2015,HZ_BAV ,OBERT3B ,SK_2959,,,,,,,,,,,,,,,,,,,
