counter,Mouse_ID,Feces_g,Comments,PBS_dil,Status,N_oocysts_sq1,X,X.1,X.2,N_oocysts_sq2,X.3,X.4,X.5,oocysts_in_feces,OPG,Nematoda,Insgesamt,potassium.dichromat,comment,year
Lorenzo,AA_0465,0.38,,1ml,,0,1,1,0,2,0,0,3,8750,23026,,NA,NA,rotten,2017
Lorenzo,AA_0466,0.53,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0467,0.5,,1ml,,1,0,0,0,0,0,1,0,2500,5000,,NA,NA,,2017
Lorenzo,AA_0468,0.22,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0469,0.44,,1ml,,25,30,19,20,17,16,16,16,198750,451705,,NA,NA,,2017
Lorenzo,AA_0470,0.32,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0471,0.39,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0489,0.79,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0490,0.83,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0491,0.86,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0495,0.18,,1ml,,2,3,1,6,2,2,6,0,27500,152778,,NA,NA,,2017
Lorenzo,AA_0496,0.73,,1ml,,2,2,4,1,1,2,1,1,17500,23973,,NA,NA,rotten,2017
Lorenzo,AA_0497,0.65,,1ml,,8,20,13,19,9,11,19,10,136250,209615,,NA,NA,,2017
Lorenzo,AA_0498,0.52,,1ml,positive*,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0499,0.47,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0500,0.74,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0501,0.7,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0502,0.23,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0503,1.12,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0504,0.3,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0505,0.39,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0506,0.43,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
Lorenzo,AA_0509,0.16,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0510,0.2,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0511,0.51,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0512,0.64,,1ml,negativ,0,0,0,0,0,0,0,0,0,0,,NA,NA,,2017
Lorenzo,AA_0513,0.85, BUT same cage as 514 and 515,1ml,negativ,0,0,0,0,0,0,0,0,0,0,positive,NA,NA,,2017
